                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4819,                 2.5967,                 1.2014,                0.20805,                0.87645,                0.20591,                 0.1139,                 1.4291,                 4.8861,                 1.1796,             0.00065728,             0.00065728,             0.00065728
                      2,                 1.3724,                 1.0768,                 1.1658,                0.94589,                0.88143,                0.95337,                0.58959,                 1.3302,                0.84495,                  1.129,              0.0012912,              0.0012912,              0.0012912
                      3,                 1.3519,                0.95837,                 1.1184,                0.93315,                0.93837,                0.95538,                0.55555,                 1.3956,                0.87721,                 1.2415,              0.0018921,              0.0018921,              0.0018921
                      4,                 1.3359,                 0.8431,                 1.1311,                0.94062,                0.94958,                 0.9728,                0.59007,                 1.2548,                0.78245,                 1.1305,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.2853,                0.77907,                 1.1193,                 0.9399,                0.91994,                0.97355,                0.61965,                 1.2783,                0.68447,                 1.1351,               0.001802,               0.001802,               0.001802
                      6,                 1.3542,                0.75421,                 1.1345,                0.94834,                0.94958,                0.98412,                0.62872,                 1.2689,                0.66626,                 1.1156,              0.0017525,              0.0017525,              0.0017525
                      7,                 1.2851,                0.69338,                 1.1189,                0.91175,                0.93277,                0.96303,                0.55953,                 1.3523,                0.69302,                 1.1665,               0.001703,               0.001703,               0.001703
                      8,                 1.2552,                 0.7026,                 1.1074,                0.96744,                0.94118,                0.97279,                0.61561,                 1.2527,                0.64033,                 1.1242,              0.0016535,              0.0016535,              0.0016535
                      9,                 1.1981,                0.63919,                 1.0872,                0.97743,                0.94118,                0.97931,                0.60633,                 1.2905,                 0.6597,                 1.1526,               0.001604,               0.001604,               0.001604
                     10,                 1.2259,                 0.6643,                  1.093,                0.96359,                0.93277,                0.98085,                0.55898,                  1.392,                0.66661,                 1.1867,              0.0015545,              0.0015545,              0.0015545
                     11,                  1.235,                0.66303,                 1.0954,                0.99114,                0.93996,                0.98455,                0.59578,                 1.3284,                0.62524,                 1.1581,               0.001505,               0.001505,               0.001505
                     12,                 1.1931,                0.65944,                 1.0834,                 0.9372,                0.97479,                0.97827,                0.59809,                 1.2672,                0.63957,                 1.1341,              0.0014555,              0.0014555,              0.0014555
                     13,                 1.2007,                0.62664,                 1.0738,                0.98222,                0.92847,                0.97889,                0.62036,                 1.2852,                  0.618,                 1.1339,               0.001406,               0.001406,               0.001406
                     14,                 1.1265,                0.60817,                  1.053,                0.95768,                0.95084,                0.98691,                0.65262,                 1.2443,                0.58098,                 1.1198,              0.0013565,              0.0013565,              0.0013565
                     15,                 1.1447,                0.59333,                 1.0586,                0.97369,                0.93296,                0.97625,                0.63112,                 1.2378,                0.60731,                  1.111,               0.001307,               0.001307,               0.001307
                     16,                 1.1318,                 0.5795,                 1.0556,                0.95706,                0.93654,                0.98178,                0.65222,                 1.2261,                0.57301,                 1.1207,              0.0012575,              0.0012575,              0.0012575
                     17,                 1.1207,                0.60125,                 1.0515,                0.97383,                0.93816,                0.97486,                0.64846,                 1.2245,                0.59016,                 1.1274,               0.001208,               0.001208,               0.001208
                     18,                 1.1108,                0.58764,                 1.0504,                0.99113,                0.93939,                  0.983,                0.63748,                 1.2426,                0.57685,                 1.1295,              0.0011585,              0.0011585,              0.0011585
                     19,                 1.1467,                0.59683,                 1.0678,                0.97238,                0.95798,                0.96643,                0.61812,                  1.249,                0.59364,                 1.1302,               0.001109,               0.001109,               0.001109
                     20,                 1.0823,                0.56871,                 1.0356,                0.95648,                0.96639,                0.97596,                0.63748,                 1.2695,                0.56337,                 1.1441,              0.0010595,              0.0010595,              0.0010595
                     21,                 1.1007,                0.55393,                 1.0494,                 0.9663,                0.96393,                0.98395,                0.63215,                 1.2548,                0.54803,                 1.1415,                0.00101,                0.00101,                0.00101
                     22,                 1.0729,                 0.5384,                 1.0376,                0.95703,                0.97479,                0.98428,                0.63453,                 1.2735,                0.53828,                 1.1366,              0.0009605,              0.0009605,              0.0009605
                     23,                 1.0716,                0.54336,                 1.0559,                0.96887,                0.96639,                0.98412,                0.65751,                 1.2184,                0.55814,                 1.1321,               0.000911,               0.000911,               0.000911
                     24,                 1.0632,                0.54041,                 1.0365,                0.99123,                0.95798,                0.98548,                0.63153,                 1.2153,                0.54211,                 1.1215,              0.0008615,              0.0008615,              0.0008615
                     25,                 1.0715,                0.52688,                  1.036,                0.94738,                0.97479,                0.98056,                0.66231,                 1.1947,                0.52596,                 1.0951,               0.000812,               0.000812,               0.000812
                     26,                 1.0501,                0.52537,                 1.0253,                0.95801,                0.95872,                0.98131,                0.63669,                 1.2307,                0.56831,                 1.1274,              0.0007625,              0.0007625,              0.0007625
                     27,                 1.0405,                0.53163,                 1.0273,                0.95103,                0.97914,                0.98533,                0.66244,                 1.1765,                0.53007,                 1.0951,               0.000713,               0.000713,               0.000713
                     28,                 1.0571,                 0.5238,                 1.0273,                0.95416,                0.97479,                0.98509,                0.67669,                 1.1911,                0.50845,                 1.1039,              0.0006635,              0.0006635,              0.0006635
                     29,                 1.0051,                 0.5138,                  1.002,                0.96587,                0.95133,                0.97719,                0.64259,                 1.2035,                0.51614,                 1.1212,               0.000614,               0.000614,               0.000614
                     30,                 1.0103,                0.49266,                 1.0013,                 0.9912,                0.94612,                0.97767,                0.66062,                 1.1893,                0.51018,                 1.1081,              0.0005645,              0.0005645,              0.0005645
                     31,                 1.0423,                0.50269,                 1.0355,                 0.9408,                 0.9348,                0.97789,                 0.6255,                  1.274,                0.54967,                 1.1539,               0.000515,               0.000515,               0.000515
                     32,                0.98301,                0.48517,                  1.013,                 0.9269,                0.95901,                0.98002,                0.65308,                 1.2303,                0.55614,                  1.127,              0.0004655,              0.0004655,              0.0004655
                     33,                 0.9781,                0.48328,                 1.0225,                0.93958,                0.96639,                 0.9827,                0.65783,                 1.2307,                0.53791,                 1.1229,               0.000416,               0.000416,               0.000416
                     34,                 1.0077,                0.47731,                 1.0072,                0.96601,                0.94958,                0.98189,                0.66092,                 1.2253,                0.54946,                 1.1124,              0.0003665,              0.0003665,              0.0003665
                     35,                 0.9894,                0.47864,                 1.0008,                0.97457,                0.96625,                0.98878,                0.66449,                 1.2466,                0.54504,                 1.1209,               0.000317,               0.000317,               0.000317
                     36,                0.96491,                0.47258,                 1.0074,                0.97128,                0.95798,                0.97736,                0.65576,                 1.2227,                0.52371,                 1.1102,              0.0002675,              0.0002675,              0.0002675
                     37,                0.96698,                0.45837,                  1.013,                0.97442,                0.96035,                0.98173,                0.66143,                 1.2129,                0.52054,                 1.1049,               0.000218,               0.000218,               0.000218
                     38,                0.95778,                0.44821,                  1.002,                0.97262,                0.95798,                 0.9821,                0.67918,                  1.199,                0.50355,                 1.0961,              0.0001685,              0.0001685,              0.0001685
                     39,                0.92648,                0.44205,                0.97379,                0.96602,                0.95576,                0.98163,                0.67376,                 1.1949,                0.50234,                 1.0996,               0.000119,               0.000119,               0.000119
                     40,                0.93035,                0.44194,                0.97455,                0.95114,                0.95798,                0.98068,                0.66458,                 1.1957,                0.50606,                 1.1026,               6.95e-05,               6.95e-05,               6.95e-05
